0	5	35
3	5	35
6	5	35
9	5	35
12	5	35
15	5	35
18	5	35
21	5	35
24	5	35
27	5	35
30	5	35
33	5	35
36	5	35
39	5	35
42	5	35
45	5	35
48	5	35
51	5	35
54	5	35
57	5	35
60	5	35
63	5	35
66	5	35
69	5	35
72	5	35
75	5	35
78	5	35
81	5	35
84	5	35
87	5	35
90	5	35
93	5	35
96	5	35
99	5	35
102	5	35
105	5	35
108	5	35
111	5	35
114	5	35
117	5	35
120	5	35
123	5	35
126	5	35
129	5	35
132	5	35
135	5	35
138	5	35
141	5	35
144	5	35
147	5	35
150	5	35
153	5	35
156	5	35
159	5	35
162	5	35
165	5	35
168	5	35
171	5	35
174	5	35
177	5	35
180	5	35
183	5	35
186	5	35
189	5	35
192	5	35
195	5	35
198	5	35
201	5	35
204	5	35
207	5	35
210	5	35
213	5	35
216	5	35
219	5	35
222	5	35
225	5	35
228	5	35
231	5	35
234	5	35
237	5	35
240	5	35
243	5	35
246	5	35
249	5	35
252	5	35
255	5	35
258	5	35
261	5	35
264	5	35
267	5	35
270	5	35
273	5	35
276	5	35
279	5	35
282	5	35
285	5	35
288	5	35
291	5	35
294	5	35
297	5	35
300	5	35
303	5	35
306	5	35
309	5	35
312	5	35
315	5	35
318	5	35
321	5	35
324	5	35
327	5	35
330	5	35
333	5	35
336	5	35
339	5	35
342	5	35
345	5	35
348	5	35
351	5	35
354	5	35
357	5	35
360	5	35
363	5	35
366	5	35
369	5	35
372	5	35
375	5	35
378	5	35
381	5	35
384	5	35
387	5	35
390	5	35
393	5	35
396	5	35
399	5	35
402	5	35
405	5	35
408	5	35
411	5	35
414	5	35
417	5	35
420	5	35
423	5	35
426	5	35
429	5	35
432	5	35
435	5	35
438	5	35
441	5	35
444	5	35
447	5	35
450	5	35
453	5	35
456	5	35
459	5	35
462	5	35
465	5	35
468	5	35
471	5	35
474	5	35
477	5	35
480	5	35
483	5	35
486	5	35
489	5	35
492	5	35
495	5	35
498	5	35
501	5	35
504	5	35
507	5	35
510	5	35
513	5	35
516	5	35
519	5	35
522	5	35
525	5	35
528	5	35
531	5	35
534	5	35
537	5	35
540	5	35
543	5	35
546	5	35
549	5	35
552	5	35
555	5	35
558	5	35
561	5	35
564	5	35
567	5	35
570	5	35
573	5	35
576	5	35
579	5	35
582	5	35
585	5	35
588	5	35
591	5	35
594	5	35
597	5	35
600	5	35
603	5	35
606	5	35
609	5	35
612	5	35
615	5	35
618	5	35
621	5	35
624	5	35
627	5	35
630	5	35
633	5	35
636	5	35
639	5	35
642	5	35
645	5	35
648	5	35
651	5	35
654	5	35
657	5	35
660	5	35
663	5	35
666	5	35
669	5	35
672	5	35
675	5	35
678	5	35
681	5	35
684	5	35
687	5	35
690	5	35
693	5	35
696	5	35
699	5	35
702	5	35
705	5	35
708	5	35
711	5	35
714	5	35
717	5	35
720	5	35
723	5	35
726	5	35
729	5	35
732	5	35
735	5	35
738	5	35
741	5	35
744	5	35
747	5	35
750	5	35
753	5	35
756	5	35
759	5	35
762	5	35
765	5	35
768	5	35
771	5	35
774	5	35
777	5	35
780	5	35
783	5	35
786	5	35
789	5	35
792	5	35
